"","District","Distance","Distance_km"
"1","Antrim",21950.1936081927,21.95
"2","Newtownabbey",12356.8024109383,12.36
"3","Armagh",53850.7955965527,53.85
"4","Banbridge",34571.3441078072,34.57
"5","Craigavon",31312.2046600724,31.31
"6","Belfast",0,0
"7","Ballymoney",57101.2623548925,57.1
"8","Coleraine",68918.01745792,68.92
"9","Limavady",75759.4616184383,75.76
"10","Moyle",62319.6189303222,62.32
"11","Derry",88866.5084467733,88.87
"12","Strabane",96205.9741033685,96.21
"13","Fermanagh",112485.008354432,112.49
"14","Omagh",85012.2624060002,85.01
"15","Castlereagh",9387.49726685945,9.39
"16","Lisburn",14316.8227806297,14.32
"17","Ballymena",36071.4234186344,36.07
"18","Carrickfergus",16893.8472188432,16.89
"19","Larne",29519.7885468009,29.52
"20","Cookstown",48749.7711242232,48.75
"21","Dungannon",65361.2436002035,65.36
"22","Magherafelt",51443.9330668956,51.44
"23","Down",31693.7755900685,31.69
"24","Newry & Mourne",54923.9573331541,54.92
"25","Ards",24786.0088626729,24.79
"26","North Down",15775.2992454181,15.78
