"","Date","Competition","Rival","HomeScore","AwayScore","Ground","DerryHome","DerryWin","District"
"1",1987-08-23,"LC Group C","Finn HarpsHarps","2","1","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"2",1987-08-30,"LC Group C","Fanad UnitedFAN","2","3","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"3",1987-08-31,"LC Group C","Sligo RoversSligo","2","0","The Showgrounds",0,0,"Other"
"4",1987-09-13,"Prem","Bray WanderersBray","0","0","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"5",1987-09-20,"Prem","WaterfordWaterford","1","3","Regional Sports Centre",0,1,"Other"
"6",1987-09-27,"Prem","Cork CityCork","7","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"7",1987-10-04,"Prem","Galway United (ex)Galway United","1","3","Terryland Park",0,1,"Other"
"8",1987-10-11,"Prem","Limerick CityLimerick City","5","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"9",1987-10-18,"Prem","St. Patrick's AthleticSt. Pats","0","3","Richmond Park",0,1,"Other"
"10",1987-10-25,"Prem","ShelbourneShels","0","0","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"11",1987-10-26,"Prem","Shamrock RoversShamrock R","1","2","Tallaght Stadium",0,1,"Other"
"12",1987-11-01,"Prem","BohemiansBohs","3","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"13",1987-11-08,"Prem","DundalkDundalk","0","2","Oriel Park",0,1,"Other"
"14",1987-11-15,"Prem","Sligo RoversSligo","3","0","The Showgrounds",0,0,"Other"
"15",1987-11-22,"Prem","Sligo RoversSligo","4","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"16",1987-11-29,"Prem","Bray WanderersBray","6","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"17",1987-12-06,"Prem","WaterfordWaterford","1","2","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"18",1987-12-13,"Prem","Cork CityCork","0","1","Turners Cross",0,1,"Other"
"19",1987-12-20,"Prem","Galway United (ex)Galway United","3","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"20",1987-12-27,"Prem","Limerick CityLimerick City","2","2","No Ground",0,0,"Other"
"21",1987-12-28,"Prem","St. Patrick's AthleticSt. Pats","0","3","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"22",1988-01-03,"Prem","BohemiansBohs","1","3","Dalymount Park",0,1,"Other"
"23",1988-01-10,"Prem","DundalkDundalk","3","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"24",1988-01-17,"Prem","ShelbourneShels","1","0","Tolka Park",0,0,"Other"
"25",1988-01-24,"Prem","Shamrock RoversShamrock R","0","1","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"26",1988-01-31,"Prem","Bray WanderersBray","1","0","Carlisle Grounds",0,0,"Other"
"27",1988-02-07,"Prem","WaterfordWaterford","0","0","Regional Sports Centre",0,0,"Other"
"28",1988-02-14,"FAI CUP R4","St Joseph'sSt Joseph's","6","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"29",1988-02-21,"Prem","Cork CityCork","0","1","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"30",1988-02-28,"Prem","Galway United (ex)Galway United","1","1","Terryland Park",0,0,"Other"
"31",1988-03-06,"FAI CUP R5","BohemiansBohs","0","0","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"32",1988-03-10,"FAI CUP R5","BohemiansBohs","4","1","Dalymount Park",0,0,"Other"
"33",1988-03-13,"Prem","Limerick CityLimerick City","3","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"34",1988-03-17,"Prem","St. Patrick's AthleticSt. Pats","0","1","Richmond Park",0,1,"Other"
"35",1988-03-20,"Prem","ShelbourneShels","0","3","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"36",1988-03-27,"FAI CUP QF","Home FarmHFM","3","0","Tolka Park",0,0,"Other"
"37",1988-04-02,"Prem","BohemiansBohs","0","1","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"38",1988-04-04,"Prem","DundalkDundalk","2","3","Oriel Park",0,1,"Other"
"39",1988-04-06,"Prem","Shamrock RoversShamrock R","3","1","Tallaght Stadium",0,0,"Other"
"40",1988-04-10,"FAI CUP SF","Longford TownLongford","2","0","Abbeycartron",0,0,"Other"
"41",1988-04-17,"FAI CUP SF","Longford TownLongford","4","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"42",1988-04-24,"Prem","Sligo RoversSligo","7","2","The Showgrounds",0,0,"Other"
"43",1988-05-01,"FAI CUP F","DundalkDundalk","0","1","Dalymount Park",0,1,"Other"
"44",1988-08-14,"LC Group 3","Finn HarpsHarps","0","0","Finn Park",0,0,"Other"
"45",1988-08-18,"LC Group 3","Fanad UnitedFAN","1","1","Tragh-a-Lough",0,0,"Other"
"46",1988-08-21,"LC Group 3","Sligo RoversSligo","4","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"47",1988-08-28,"LC QF","Athlone TownAthlone","0","0","Athlone Town Stadium",0,0,"Other"
"48",1988-09-04,"Prem","DundalkDundalk","1","1","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"49",1988-09-07,"ECWC R1","Cardiff CityCARD","0","0","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"50",1988-09-11,"Prem","BohemiansBohs","2","0","Dalymount Park",0,0,"Other"
"51",1988-09-18,"Prem","LimerickLimerick","1","1","Markets Field",0,0,"Other"
"52",1988-09-21,"LC SF","St. Patrick's AthleticSt. Pats","4","2","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"53",1988-09-25,"Prem","St. Patrick's AthleticSt. Pats","1","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"54",1988-10-02,"Prem","Cork CityCork","1","0","Turners Cross",0,0,"Other"
"55",1988-10-05,"ECWC R1","Cardiff CityCARD","0","4","Cardiff City Stadium",0,1,"Other"
"56",1988-10-09,"Prem","Galway UnitedGalway","5","1","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"57",1988-10-13,"LC Final","DundalkDundalk","4","0","Oriel Park",0,0,"Other"
"58",1988-10-16,"Prem","Athlone TownAthlone","0","1","Athlone Town Stadium",0,1,"Other"
"59",1988-10-23,"Prem","WaterfordWaterford","2","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
"60",1988-10-30,"Prem","ShelbourneShels","5","0","Tolka Park",0,0,"Other"
"61",1988-10-31,"Prem","Shamrock RoversShamrock R","1","1","The Ryan McBride Brandywell Stadium",1,0,"Derry"
"62",1988-11-06,"Prem","Cobh RamblersCobh","5","0","The Ryan McBride Brandywell Stadium",1,1,"Derry"
