"","District","Distance","Distance_km"
"1","Antrim",66920.6322128162,66.92
"2","Newtownabbey",83027.0710772002,83.03
"3","Armagh",78895.2057940206,78.9
"4","Banbridge",93506.2546781883,93.51
"5","Craigavon",73863.3659734622,73.86
"6","Belfast",88866.5084467733,88.87
"7","Ballymoney",51346.7382719835,51.35
"8","Coleraine",36190.1993158657,36.19
"9","Limavady",17898.8339166531,17.9
"10","Moyle",65748.0540586682,65.75
"11","Derry",0,0
"12","Strabane",24906.1269035866,24.91
"13","Fermanagh",71672.5010636364,71.67
"14","Omagh",39956.6605706906,39.96
"15","Castlereagh",97840.3369116446,97.84
"16","Lisburn",87679.1040993877,87.68
"17","Ballymena",62101.6868712028,62.1
"18","Carrickfergus",92010.3964574496,92.01
"19","Larne",83544.0292907487,83.54
"20","Cookstown",46723.2132951684,46.72
"21","Dungannon",57255.7780073454,57.26
"22","Magherafelt",37432.9778142709,37.43
"23","Down",112371.937012568,112.37
"24","Newry & Mourne",105986.396490804,105.99
"25","Ards",113626.531264007,113.63
"26","North Down",101479.02980827,101.48
