"","Date","Day","Action","Perpetrator","Political_target","Target","Event","Country","Location","Issue","Link date","Time","N_Protesters","Arrests","N_ProtestersInjured","Deaths","Prop. Damage","N_StateForces","N_StateInjured","State killed","OSD","Source","Story date","No event found","District"
"1",1980-01-01,"Tue","attack","youths","government","troops","UK troops shoot & kill 16-year old girl whose car penetrates barricades","UK/Northern Ireland","Belfast","Irish unity",NA,"20:00",2,0,1,1,"Y",31,0,0,605639,"Reuters","02/01/1980",NA,"Belfast"
"2",1980-01-01,"Tue","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"3",1980-01-02,"Wed","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"4",1980-01-03,"Thu","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"5",1980-01-04,"Fri","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"6",1980-01-05,"Sat","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"7",1980-01-06,"Sun","bomb-wd","PIRA","government","troops","3 soldiers killed by bomb under vehicle","UK/Northern Ireland","Castlewellan","Irish unity",NA,NA,3,0,0,0,"Y",7,4,3,102701,"Reuters","06/01/1980",NA,"Down"
"8",1980-01-06,"Sun","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"9",1980-01-07,"Mon","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"10",1980-01-08,"Tue","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"11",1980-01-09,"Wed","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"12",1980-01-10,"Thu","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"13",1980-01-11,"Fri","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"14",1980-01-12,"Sat","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
"15",1980-01-13,"Sun","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA,"Belfast"
