"","Date","Day","Action","Protester","State/target","Agent","Event","Country","Location","Issue","Link date","Time","# Protesters","Arrests","Injuries...15","Deaths","Prop. Damage","# State","Injuries...19","State killed","OSD","Source","Story date","No event found"
"1","01/01/1980","Tue","attack","youths","government","troops","UK troops shoot & kill 16-year old girl whose car penetrates barricades","UK/Northern Ireland","Belfast","Irish unity",NA,"20:00",2,0,1,1,"Y",31,0,0,605639,"Reuters","02/01/1980",NA
"2","01/01/1980","Tue","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"3","02/01/1980","Wed","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"4","03/01/1980","Thu","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"5","04/01/1980","Fri","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"6","05/01/1980","Sat","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"7","06/01/1980","Sun","bomb-wd","PIRA","government","troops","3 soldiers killed by bomb under vehicle","UK/Northern Ireland","Castlewellan","Irish unity",NA,NA,3,0,0,0,"Y",7,4,3,102701,"Reuters","06/01/1980",NA
"8","06/01/1980","Sun","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"9","07/01/1980","Mon","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"10","08/01/1980","Tue","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"11","09/01/1980","Wed","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"12","10/01/1980","Thu","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"13","11/01/1980","Fri","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"14","12/01/1980","Sat","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"15","13/01/1980","Sun","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"16","14/01/1980","Mon","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
"17","15/01/1980","Tue","civil disobedience","PIRA","government","prison","prisoners smear walls with feces, refuse to wash for political prisoner status","UK/Northern Ireland","Belfast","political prisoner status",NA,NA,401,0,0,0,"Y",301,0,0,102701,"Economist","16/02/1980",NA
