Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1990;Mon;;;;;;;;;;;;;;;;;;;;;;no event
02/01/1990;Tue;rally;citizens;government;;against quarry on site of Battle of Boyne;Ireland;Boyne valley;historic site;7/12/1690;;301;0;0;0;N;0;0;0;30001;Reuters;03/01/1990;
02/01/1990;Tue;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;06/01/1990;
02/01/1990;Tue;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
03/01/1990;Wed;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;06/01/1990;
03/01/1990;Wed;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
04/01/1990;Thu;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;06/01/1990;
04/01/1990;Thu;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
05/01/1990;Fri;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;06/01/1990;
05/01/1990;Fri;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
06/01/1990;Sat;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;10/01/1990;
06/01/1990;Sat;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
07/01/1990;Sun;demonstration;ecologists;firm;Merrell Dow;against drug construction of drug plant;Ireland;Killeagh;pollution;;;301;0;0;0;N;0;0;0;30001;Chemical Business Base News;23/01/1990;
08/01/1990;Mon;deport;construction worker;government;court;order out of country for possession of explosives;Ireland;Dublin;terror;;;1;1;0;0;N;0;0;0;3001;Daily Telegraph;09/01/1990;
08/01/1990;Mon;extradite;PIRA;government;court;ordered to UK for trial;Ireland;Dublin;terror;;;1;1;0;0;N;0;0;0;7424;Daily Telegraph;09/01/1990;
08/01/1990;Mon;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;10/01/1990;
08/01/1990;Mon;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
09/01/1990;Tue;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Independent;10/01/1990;
09/01/1990;Tue;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
10/01/1990;Wed;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
10/01/1990;Wed;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
10/01/1990;Wed;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Times;26/05/1990;
11/01/1990;Thu;dismiss;Father Ryan;Catholic church;;bishop expels PIRA-linked priest;Ireland;Dublin;terror;;;1;1;0;0;N;1;0;0;7424;Reuters;11/01/1990;
11/01/1990;Thu;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
11/01/1990;Thu;strike;radiator workers;firm;Barlo Group;strike for higher pay;Ireland;Clonmel;wages;;;156;0;0;0;N;0;0;0;678827;Irish Times;26/05/1990;
12/01/1990;Fri;strike;bakers;firm;Scotts;strike against unfair firings;Ireland;Castlebar;firings;;;47;0;0;0;N;0;0;0;678827;Irish Times;25/01/1990;
