Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1993;Fri;demonstration;ecologists;government;;against building interpretive center in mountain;Ireland;Mullaghmore mountain ;ecology;;;301;0;0;0;N;0;0;0;30001;Irish Times;01/01/1993;
02/01/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
03/01/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
04/01/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
05/01/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
06/01/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
07/01/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
08/01/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
09/01/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
10/01/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
11/01/1993;Mon;arrest;PIRA;government;police;arrest PIRA member who mortored in London;Ireland;Cavan;terror;07/02/1991;;1;1;0;0;N;8;0;0;26731;Daily Telegraph;12/01/1993;
11/01/1993;Mon;arrest;INLA;government;police;arrest on suspicion of murder in Derby;Ireland;Limerick;terror;14/04/1992;;1;1;0;0;N;8;0;0;26731;Evening Standard;12/01/1993;
11/01/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
12/01/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
13/01/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
14/01/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
15/01/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
16/01/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
17/01/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
18/01/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
19/01/1993;Tue;strike;teachers;government;school;strike against unsafe building;Ireland;Cork;building safety;;;101;0;0;0;N;0;0;0;678827;Irish Times;20/01/1993;
19/01/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
20/01/1993;Wed;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Irish Times;23/01/1993;
20/01/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
21/01/1993;Thu;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Evening Standard;25/01/1993;
21/01/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
22/01/1993;Fri;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Evening Standard;25/01/1993;
22/01/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
23/01/1993;Sat;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Evening Standard;25/01/1993;
23/01/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
24/01/1993;Sun;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Evening Standard;25/01/1993;
25/01/1993;Mon;hostage-nd;PIRA;businessman;;hold businessman hostage;Ireland;Buncrana;Irish unity;;;4;0;0;0;N;0;0;0;26731;Evening Standard;25/01/1993;
25/01/1993;Mon;demonstration;hairdressers;government;Dail;protest increased VAT;Ireland;Dublin;anti-tax;;14:30;600;0;0;0;N;0;0;0;30001;Irish Times;25/01/1993;
25/01/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
26/01/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
27/01/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
28/01/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
29/01/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
30/01/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
31/01/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
01/02/1993;Mon;strike;dock workers;firm;B&I;strike against layoffs;Ireland;Dublin;unemployment;;;59;0;0;0;N;0;0;0;678827;Irish Times;03/02/1993;
01/02/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
02/02/1993;Tue;strike;dock workers;firm;B&I;strike against layoffs;Ireland;Dublin;unemployment;;;59;0;0;0;N;0;0;0;678827;Irish Times;03/02/1993;
02/02/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
03/02/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
04/02/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
05/02/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
06/02/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
07/02/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
08/02/1993;Mon;demonstration;farmers;EU;;demand higher milk quota;Ireland;Waterford;EU farm policy;;;800;0;0;0;N;0;0;0;173000;Irish Times;09/02/1993;
08/02/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
09/02/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
10/02/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
11/02/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
12/02/1993;Fri;demonstration;students;government;education minister;demand more funds for universities;Ireland;Dublin;university funds;;;300;0;0;0;N;0;0;0;48124;Irish Times;16/02/1993;
12/02/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
13/02/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
14/02/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
15/02/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
16/02/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
17/02/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
18/02/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
19/02/1993;Fri;demonstration;legislative staff;government;Dail;secretaries faced with redundancy march;Ireland;Dublin;unemployment;;;16;0;0;0;N;0;0;0;678827;Irish Times;20/02/1993;
19/02/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
20/02/1993;Sat;rally;Sinn Fein;UK;;annual meeting;Ireland;Dundalk;Irish unity;;;301;0;0;0;N;101;0;0;26731;Irish Times;22/02/1993;
20/02/1993;Sat;demonstration;citizens;Sinn Fein;;against PIRA violence;Ireland;Dundalk;terror;;;101;0;0;0;N;101;0;0;700000;Irish Times;22/02/1993;
20/02/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
21/02/1993;Sun;rally;Sinn Fein;UK;;annual meeting;Ireland;Dundalk;Irish unity;;;301;0;0;0;N;101;0;0;26731;Irish Times;22/02/1993;
22/02/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
23/02/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
24/02/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
25/02/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
26/02/1993;Fri;raid;PIRA;government;police;arrest 2 after finding weapons in van;Ireland;Kildare;terror;;;2;2;0;0;N;8;0;0;26731;Guardian;27/02/1993;
26/02/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
27/02/1993;Sat;raid;PIRA;government;police;find arms cache;Ireland;Kilcock;terror;;;0;0;0;0;N;31;0;0;26731;Daily Mail;28/02/1993;
27/02/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
28/02/1993;Sun;arrest;PIRA;government;police;arrest PIRA suspects after finding arms;Ireland;Navan;terror;;;3;3;0;0;N;8;0;0;26731;Irish Times;01/03/1993;
01/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
02/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
03/03/1993;Wed;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
04/03/1993;Thu;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
05/03/1993;Fri;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
06/03/1993;Sat;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
07/03/1993;Sun;;;;;;;;;;;;;;;;;;;;;;no event
08/03/1993;Mon;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
09/03/1993;Tue;strike;health workers;government;Eastern Health Board;against corruption in board nominations;Ireland;Ireland;corruption;;;700;0;0;0;N;0;0;0;678827;Irish Times;19/03/1993;
09/03/1993;Tue;strike;bakers;firm;Pat the Baker;seek union in plant;Ireland;Dublin;union rights;;;16;0;0;0;N;0;0;0;678827;Irish Times;03/08/1993;
