Date;Day;Action;Protester;State/target;Agent;Event;Country;Location;Issue;Link date;Time ;# Protesters;Arrests;Injuries;Deaths;Prop. Damage;# State;Injuries;State killed;OSD;Source;Story date;No event found
01/01/1980;Tue;attack;youths;government;troops;UK troops shoot & kill 16-year old girl whose car penetrates barricades;UK/Northern Ireland;Belfast;Irish unity;;20:00;2;0;1;1;Y;31;0;0;605639;Reuters;02/01/1980;
01/01/1980;Tue;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
02/01/1980;Wed;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
03/01/1980;Thu;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
04/01/1980;Fri;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
05/01/1980;Sat;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
06/01/1980;Sun;bomb-wd;PIRA;government;troops;3 soldiers killed by bomb under vehicle;UK/Northern Ireland;Castlewellan;Irish unity;;;3;0;0;0;Y;7;4;3;102701;Reuters;06/01/1980;
06/01/1980;Sun;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
07/01/1980;Mon;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
08/01/1980;Tue;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
09/01/1980;Wed;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
10/01/1980;Thu;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
11/01/1980;Fri;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
12/01/1980;Sat;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
13/01/1980;Sun;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
14/01/1980;Mon;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
15/01/1980;Tue;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
16/01/1980;Wed;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
17/01/1980;Thu;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
18/01/1980;Fri;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
19/01/1980;Sat;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
20/01/1980;Sun;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
21/01/1980;Mon;civil disobedience;PIRA;government;prison;prisoners smear walls with feces, refuse to wash for political prisoner status;UK/Northern Ireland;Belfast;political prisoner status;;;401;0;0;0;Y;301;0;0;102701;Economist;16/02/1980;
