"","Date","Day","Action","Perpetrator","Political_target","Target","Event","Country","Location","Issue","Link date","Time","N_Protesters","Arrests","N_ProtestersInjured","Deaths","Prop. Damage","N_StateForces","N_StateInjured","State killed","OSD","Source","Story date","No event found","fecha","District"
"1",1980-01-01,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","01/01/1980","TBD"
"2",1980-01-02,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","02/01/1980","TBD"
"3",1980-01-03,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","03/01/1980","TBD"
"4",1980-01-04,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","04/01/1980","TBD"
"5",1980-01-05,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","05/01/1980","TBD"
"6",1980-01-06,"Sun","raid","PIRA","government","police","find bomb factory","Ireland","Dunleer","Irish unity",NA,NA,8,0,0,0,"N",31,0,0,7424,"Reuters","07/01/1980",NA,"06/01/1980","TBD"
"7",1980-01-07,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","07/01/1980","TBD"
"8",1980-01-08,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","08/01/1980","TBD"
"9",1980-01-09,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/01/1980","TBD"
"10",1980-01-10,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/01/1980","TBD"
"11",1980-01-11,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/01/1980","TBD"
"12",1980-01-12,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/01/1980","TBD"
"13",1980-01-13,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/01/1980","TBD"
"14",1980-01-14,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","14/01/1980","TBD"
"15",1980-01-15,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","15/01/1980","TBD"
"16",1980-01-16,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","16/01/1980","TBD"
"17",1980-01-17,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/01/1980","TBD"
"18",1980-01-18,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","18/01/1980","TBD"
"19",1980-01-19,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/01/1980","TBD"
"20",1980-01-20,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","20/01/1980","TBD"
"21",1980-01-21,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","21/01/1980","TBD"
"22",1980-01-22,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/01/1980","TBD"
"23",1980-01-23,"Wed","demonstration","workers","government",NA,"protest high taxes","Ireland","Dublin","taxes",NA,NA,250000,0,0,0,"N",0,0,0,678827,"Xinhau","23/01/1980",NA,"23/01/1980","TBD"
"24",1980-01-24,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/01/1980","TBD"
"25",1980-01-25,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/01/1980","TBD"
"26",1980-01-26,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","26/01/1980","TBD"
