"","Date","Day","Action","Perpetrator","Political_target","Target","Event","Country","Location","Issue","Link date","Time","N_Protesters","Arrests","N_ProtestersInjured","Deaths","Prop. Damage","N_StateForces","N_StateInjured","State killed","OSD","Source","Story date","No event found","District"
"1",1980-01-01,"Tue","attack","youths","government","troops","UK troops shoot & kill 16-year old girl whose car penetrates barricades","UK/Northern Ireland","Belfast","Irish unity",NA,"20:00",2,0,1,1,"Y",31,0,0,605639,"Reuters","02/01/1980",NA,"Belfast"
"2",1980-01-06,"Sun","raid","PIRA","government","police","find bomb factory","Ireland","Dunleer","Irish unity",NA,NA,8,0,0,0,"N",31,0,0,7424,"Reuters","07/01/1980",NA,"TBD"
"3",1980-01-06,"Sun","bomb-wd","PIRA","government","troops","3 soldiers killed by bomb under vehicle","UK/Northern Ireland","Castlewellan","Irish unity",NA,NA,3,0,0,0,"Y",7,4,3,102701,"Reuters","06/01/1980",NA,"Down"
"4",1980-01-26,"Sat","bomb-nd","PIRA","government","train","defuse large bomb on Belfast-Dublin train","UK/Northern Ireland","Newry","Irish unity",NA,NA,3,0,0,0,"N",8,0,0,102701,"Reuters","26/01/1980",NA,"Newry & Mourne"
"5",1980-01-26,"Sat","attack","PIRA","government","troops","ambush UK troops from catholic house, family held hostage","UK/Northern Ireland","Belfast","Irish unity",NA,NA,3,0,0,0,"Y",8,2,1,102701,"Reuters","26/01/1980",NA,"Belfast"
"6",1980-01-27,"Sun","demonstration","National Front","Sinn Fein","police","attack Sinn Fein marchers; police separate","UK/Northern Ireland","Belfast","UK unity",NA,NA,350,9,0,0,"Y",301,0,0,3001,"Reuters","27/01/1980",NA,"Belfast"
"7",1980-01-27,"Sun","demonstration","Sinn Fein","government","troops","protest Bloody Sunday; throw stones at troops","UK/Northern Ireland","Derry","repression","30/01/1972",NA,3000,0,0,0,"Y",301,0,0,102701,"Reuters","27/01/1980",NA,"Derry"
"8",1980-02-15,"Fri","trial","UDA","government","court","2 UDA members convicted of attempted murder","Ireland","Dublin","anti-PIRA",NA,NA,2,2,0,0,"N",0,0,0,350000,"Reuters","15/02/1980",NA,"TBD"
"9",1980-03-26,"Wed","hostage-nd","PIRA","government","police","gunman holds 3 hostage, then surrenders","Ireland","Dundalk","Irish unity",NA,NA,1,0,0,0,"N",31,0,0,7424,"Reuters","26/03/1980",NA,"TBD"
"10",1980-04-04,"Fri","attack","PIRA","government","police","walk into factory & shoot part-time policeman","UK/Northern Ireland","Belfast","Irish unity",NA,NA,2,0,0,0,"Y",2,1,1,102701,"Reuters","04/04/1980",NA,"Belfast"
"11",1980-04-04,"Fri","bomb-nd","PIRA","government","police","policeman injured by car bomb","UK/Northern Ireland","Belfast","Irish unity",NA,NA,3,0,0,0,"Y",1,1,0,102701,"Reuters","04/04/1980",NA,"Belfast"
"12",1980-04-06,"Sun","bomb-nd","Protestant terrorists","Sinn Fein","cemetery","bomb goes off before march reaches cemetery","UK/Northern Ireland","Belfast","British unity",NA,NA,3,0,0,0,"Y",0,0,0,350000,"Reuters","06/04/1980",NA,"Belfast"
"13",1980-04-09,"Wed","attack","PIRA","government","police","police ambushed & machine-gunned","UK/Northern Ireland","West Belfast","Irish unity",NA,NA,3,0,0,0,"Y",4,3,1,102701,"Reuters","09/04/1980",NA,"Belfast"
"14",1980-04-11,"Fri","assassination","PIRA","government","police","motorcyclist shoots dead part-time policeman","UK/Northern Ireland","Belfast","Irish unity",NA,NA,1,0,0,0,"Y",1,0,1,102701,"Reuters","11/04/1980",NA,"Belfast"
"15",1980-04-14,"Mon","obstruction","Sinn Fein","government","hospital","block food deliveries against UK troops in hospital","UK/Northern Ireland","Belfast","Irish unity",NA,NA,101,0,0,0,"N",8,0,0,102701,"Reuters","14/04/1980",NA,"Belfast"
