"","District","MalesActive","FemalesActive","TotalActives","MalesUnem","FemalesUnem","TotalUnem","pcg_Unem","nocarHH","carHH","TotalHH","pcg_car"
"1","Antrim",12121,6527,18648,1861,761,2622,0.140604890604891,2920,12404,15324,0.809449229966066
"2","Ards",16065,9346,25411,1823,976,2799,0.110149148006769,4054,18357,22411,0.819106688679666
"3","Armagh",12387,6641,19028,2324,856,3180,0.167122135799874,1921,13638,15559,0.876534481650492
"4","Ballymena",14866,8365,23231,1977,841,2818,0.121303430760622,3184,16854,20038,0.841101906377882
"5","Ballymoney",6218,3169,9387,1313,343,1656,0.176414189837009,1120,6591,7711,0.854752950330696
"6","Banbridge",8223,4605,12828,1206,596,1802,0.140473963205488,1775,9209,10984,0.838401310997815
"7","Belfast",78912,53588,132500,16844,7252,24096,0.181856603773585,41733,65431,107164,0.610568847747378
"8","Carrickfergus",7863,4778,12641,1326,515,1841,0.145637212245867,2346,8374,10720,0.78115671641791
"9","Castlereagh",17405,12312,29717,1588,877,2465,0.082949153683077,4873,22109,26982,0.819398117263361
"10","Coleraine",12168,6758,18926,2400,775,3175,0.167758638909437,3106,12499,15605,0.80096123037488
"11","Cookstown",6931,3212,10143,2002,652,2654,0.261658286503007,925,6491,7416,0.875269687162891
"12","Craigavon",19227,12487,31714,3657,12487,16144,0.509049631077757,5809,20356,26165,0.777985858971909
"13","Derry",21287,11980,33267,6164,186,6350,0.190879850903298,7131,17165,24296,0.706494896279223
"14","Down",14105,7753,21858,2207,828,3035,0.138850764022326,3218,15034,18252,0.823690554459785
"15","Dungannon",10823,5150,15973,2805,959,3764,0.235647655418519,1629,10466,12095,0.865316246382803
"16","Fermanagh",13619,5956,19575,2935,847,3782,0.193205619412516,2148,13142,15290,0.859516023544801
"17","Larne",8129,4264,12393,1313,514,1827,0.147421931735657,2471,7979,10450,0.763540669856459
"18","Limavady",7091,3049,10140,1903,442,2345,0.231262327416174,1455,5943,7398,0.803325223033252
"19","Lisburn",23368,13824,37192,2780,1516,4296,0.115508711550871,5389,26481,31870,0.830906808911202
"20","Magherafelt",7936,3905,11841,2069,572,2641,0.223038594713284,1373,7765,9138,0.849748303786387
"21","Moyle",3710,1733,5443,1015,280,1295,0.237920264559985,757,3355,4112,0.8159046692607
"22","Newry & Mourne",18115,8744,26859,5589,1616,7205,0.268252727205034,3685,15336,19021,0.806266757794017
"23","Newtownabbey",20457,13241,33698,2550,1266,3816,0.113241141907532,6273,23441,29714,0.788887393148011
"24","North Down",17816,10854,28670,1380,831,2211,0.0771189396581793,3999,21927,25926,0.84575329784772
"25","Omagh",10634,4990,15624,2354,709,3063,0.196044546850998,1663,10519,12182,0.863487112132655
"26","Strabane",8908,4144,13052,2884,757,3641,0.278961078761876,1835,7388,9223,0.801040876070693
