"","District","PopulationM","PopulationF","Population","MalesActives","MalesUnem","FemalesActives","FemalesUnem","TotalHH","OneCarsHH","TwoCarsHH","ThreeCarsHH","TotalActives","TotalUnem","pcg_Unem","pcg_car"
"1","Antrim",16209,16731,44463,12204,1716,8261,738,14170,6606,2738,566,20465,2454,0.119912044954801,0.699364855328158
"2","Ards",23714,25757,64752,17826,1889,12316,846,22825,10242,5081,1042,30142,2735,0.0907371773604937,0.71697699890471
"3","Armagh",18315,19058,51882,13081,2436,8456,865,15746,7859,3273,676,21537,3301,0.153271114825649,0.749904737711165
"4","Ballymena",20795,22210,56680,15401,1951,10316,840,19158,9156,3870,781,25717,2791,0.108527433215383,0.720691095103873
"5","Ballymoney",8766,9097,24213,6462,1269,3962,366,7724,3901,1447,298,10424,1635,0.15684957789716,0.730968410150181
"6","Banbridge",12113,12790,33471,9039,1152,5972,466,10985,5139,2531,485,15011,1618,0.107787622410233,0.742375967228038
"7","Belfast",97281,116422,279215,67421,16796,51096,7181,107424,37712,10206,1847,118517,23977,0.202308529578035,0.463257745010426
"8","Carrickfergus",11872,12972,32783,9013,1196,6490,546,11868,5537,2194,329,15503,1742,0.112365348642198,0.679137175598247
"9","Castlereagh",22761,25905,60705,16375,1602,13305,813,22925,10968,4605,822,29680,2415,0.0813679245283019,0.71515812431843
"10","Coleraine",18055,20217,50450,13049,2346,9074,956,17866,8437,2909,543,22123,3302,0.14925642995977,0.665453934848315
"11","Cookstown",10751,11010,31063,7727,1864,4439,635,9222,4656,1728,402,12166,2499,0.205408515535098,0.735849056603774
"12","Craigavon",26403,28903,74934,19708,3405,13836,1472,24937,11369,4021,776,33544,4877,0.145391128070594,0.648273649596984
"13","Derry",31266,33970,95361,22998,6758,14996,2240,28040,11848,2929,545,37994,8998,0.236826867400116,0.546433666191156
"14","Down",20496,21513,57949,14936,2221,9858,851,18062,8503,3836,772,24794,3072,0.12390094377672,0.725888605912966
"15","Dungannon",15751,16430,45392,11239,2737,6677,787,13689,6817,2578,576,17916,3524,0.196695691002456,0.728395061728395
"16","Fermanagh",19444,19571,54040,13646,3015,7752,852,16876,8383,3089,614,21398,3867,0.18071782409571,0.716164968001896
"17","Larne",10952,11778,29410,8026,1315,5263,481,10418,4676,1729,373,13289,1796,0.135149371660772,0.650604722595508
"18","Limavady",10540,10267,29562,8190,2045,4523,570,8482,4262,1331,246,12713,2615,0.205694957917093,0.688398962508842
"19","Lisburn",35220,37844,99389,26844,3729,18393,1731,33285,14702,6965,1410,45237,5460,0.120697658995955,0.693315307195433
"20","Magherafelt",12740,12894,36299,9167,1915,5595,638,10429,5205,1986,519,14762,2553,0.172944045522287,0.739284686930674
"21","Moyle",5313,5485,14819,3670,942,2112,308,4719,2290,669,135,5782,1250,0.216188170183328,0.65564738292011
"22","Newry & Mourne",28783,29645,82985,20853,5426,11954,1745,24372,11878,3902,819,32807,7171,0.218581400310909,0.681068439192516
"23","Newtownabbey",26783,29689,74012,20211,2605,15189,1253,26498,12309,4807,708,35400,3858,0.108983050847458,0.67265453996528
"24","North Down",25958,29720,71816,18790,1579,13794,891,26630,12381,6279,1017,32584,2470,0.0758040756199362,0.738903492301915
"25","Omagh",16175,16040,45823,11393,2446,6749,863,13443,6753,2387,440,18142,3309,0.182394443831992,0.712638547943167
"26","Strabane",12634,12868,36222,9044,2752,5088,797,10756,5043,1447,305,14132,3549,0.251132182281347,0.631740423949424
